iter	Passed	Remaining
0	0	27
1	0	28
2	0	28
3	1	27
4	1	26
5	1	26
6	1	26
7	2	26
8	2	25
9	2	25
10	3	25
11	3	26
12	3	25
13	4	25
14	4	25
15	4	25
16	5	25
17	5	24
18	5	24
19	6	24
20	6	23
21	6	23
22	6	23
23	7	23
24	7	22
25	7	22
26	8	22
27	8	21
28	9	23
29	9	23
30	10	22
31	10	22
32	10	22
33	11	21
34	11	21
35	11	20
36	12	20
37	12	20
38	12	19
39	12	19
40	13	18
41	13	18
42	13	18
43	14	17
44	14	17
45	14	17
46	14	16
47	15	16
48	15	16
49	15	15
50	16	15
51	16	15
52	16	14
53	17	14
54	17	14
55	17	14
56	18	13
57	18	13
58	19	13
59	19	13
60	20	12
61	20	12
62	20	12
63	21	12
64	21	11
65	22	11
66	22	11
67	23	10
68	23	10
69	23	10
70	24	9
71	24	9
72	25	9
73	25	8
74	25	8
75	26	8
76	26	7
77	27	7
78	27	7
79	27	6
80	28	6
81	28	6
82	28	5
83	29	5
84	29	5
85	29	4
86	30	4
87	30	4
88	31	3
89	31	3
90	31	3
91	32	2
92	33	2
93	33	2
94	33	1
95	34	1
96	34	1
97	35	0
98	35	0
99	36	0
