iter	Passed	Remaining
0	57	57934
1	58	29093
2	58	19491
3	59	14756
4	59	11884
5	60	9999
6	60	8647
7	61	7604
8	61	6791
9	62	6148
10	62	5623
11	63	5193
12	63	4817
13	63	4493
14	64	4210
15	64	3973
16	64	3756
17	65	3566
18	65	3390
19	66	3252
20	66	3113
21	67	2995
22	67	2877
23	68	2782
24	68	2679
25	69	2590
26	69	2502
27	69	2427
28	70	2357
29	70	2294
30	71	2226
31	71	2165
32	72	2120
33	72	2065
34	73	2015
35	73	1966
36	74	1927
37	74	1883
38	74	1842
39	75	1803
40	75	1768
41	76	1736
42	76	1710
43	77	1680
44	77	1647
45	77	1616
46	78	1589
47	78	1561
48	79	1538
49	79	1515
50	80	1490
51	80	1468
52	81	1449
53	81	1429
54	81	1408
55	82	1394
56	83	1373
57	83	1355
58	83	1336
59	84	1319
60	84	1301
61	84	1284
62	85	1267
63	85	1250
64	86	1237
65	86	1224
66	87	1211
67	87	1202
68	88	1190
69	88	1176
70	89	1164
71	89	1153
72	89	1141
73	90	1130
74	90	1118
75	91	1108
76	91	1097
77	92	1088
78	92	1078
79	93	1070
80	93	1060
81	93	1050
82	94	1040
83	94	1031
84	95	1023
85	95	1017
86	96	1008
87	96	999
88	96	991
89	97	983
90	97	976
91	99	978
92	99	970
93	99	963
94	100	957
95	100	949
96	101	943
97	101	937
98	102	930
99	102	924
100	103	919
101	103	913
102	104	906
103	104	899
104	104	894
105	105	888
106	105	881
107	105	875
108	106	869
109	106	863
110	107	858
111	107	852
112	107	846
113	108	840
114	108	836
115	108	830
116	109	824
117	109	819
118	109	814
119	110	808
120	110	803
121	110	797
122	111	792
123	111	787
124	111	782
125	112	779
126	112	774
127	112	769
128	113	764
129	113	760
130	114	756
131	114	752
132	114	747
133	115	743
134	115	739
135	115	736
136	116	733
137	116	729
138	117	725
139	117	721
140	117	717
141	117	712
142	118	708
143	118	705
144	119	703
145	119	699
146	120	696
147	120	693
148	120	690
149	121	687
150	122	686
151	122	683
152	123	680
153	123	677
154	123	674
155	124	671
156	124	669
157	125	667
158	125	665
159	126	661
160	126	658
161	126	656
162	127	653
163	127	650
164	128	648
165	128	646
166	129	644
167	129	641
168	130	639
169	130	638
170	131	635
171	131	633
172	132	634
173	133	631
174	133	629
175	133	626
176	134	625
177	135	624
178	135	622
179	136	620
180	136	618
181	137	616
182	137	613
183	137	611
184	138	610
185	139	608
186	139	606
187	139	604
188	140	601
189	140	600
190	141	598
191	141	596
192	142	594
193	142	592
194	143	590
195	143	588
196	143	585
197	144	584
198	144	581
199	144	579
200	145	577
201	145	574
202	145	572
203	146	571
204	146	569
205	147	567
206	147	566
207	148	564
208	148	562
209	148	559
210	149	557
211	149	555
212	150	554
213	150	552
214	150	550
215	151	548
216	151	546
217	151	544
218	152	542
219	152	541
220	153	539
221	153	538
222	153	536
223	154	535
224	154	533
225	155	532
226	155	530
227	156	528
228	156	527
229	157	526
230	157	524
231	157	522
232	158	521
233	158	519
234	159	517
235	159	516
236	159	514
237	160	513
238	160	511
239	161	509
240	161	508
241	161	507
242	162	505
243	162	503
244	163	502
245	163	500
246	163	499
247	164	497
248	164	496
249	164	494
250	165	493
251	165	492
252	166	490
253	166	490
254	167	488
255	167	487
256	168	486
257	168	485
258	169	483
259	169	482
260	169	480
261	170	479
262	170	478
263	171	476
264	171	475
265	171	474
266	172	473
267	172	471
268	173	470
269	173	469
270	173	467
271	174	466
272	174	465
273	175	464
274	175	463
275	176	461
276	176	460
277	176	458
278	177	457
279	177	456
280	177	455
281	178	454
282	178	453
283	179	451
284	179	450
285	180	449
286	180	448
287	180	447
288	181	446
289	181	445
290	182	444
291	182	442
292	183	441
293	183	440
294	183	438
295	183	437
296	184	435
297	184	434
298	184	433
299	185	431
300	185	430
301	185	429
302	186	428
303	186	426
304	186	425
305	187	424
306	187	423
307	188	422
308	188	421
309	188	420
310	189	419
311	190	419
312	190	418
313	191	417
314	191	416
315	191	415
316	192	414
317	192	412
318	193	412
319	193	411
320	193	409
321	194	408
322	194	407
323	194	406
